step,epoch,rf_loss,id_loss,total_loss,lam,gamma,lr,grad_norm,v_pred_absmax,target_v_absmax,lora_diff_mean,lora_grad_mean
1,1,0.959783,0.0,0.959783,0.0,0.0,3e-05,121.650589,4.875,6.59375,0.0,0.0
2,1,0.985464,0.0,0.985464,0.0,0.001,3e-05,454.740723,5.34375,5.6875,0.0,0.0
3,1,1.123641,0.0,1.123641,0.0,0.002,3e-05,369.610504,6.28125,6.15625,1e-08,0.0
4,1,1.12393,0.0,1.12393,0.0,0.003,3e-05,84.197281,4.59375,5.46875,1.1e-07,0.0
5,1,0.929494,0.0,0.929494,0.0,0.004,3e-05,8.490705,4.71875,5.34375,3.9e-07,0.0
6,1,0.808377,0.0,0.808377,0.0,0.005,3e-05,70.208961,4.6875,4.96875,9.4e-07,0.0
7,1,0.981688,0.0,0.981688,0.0,0.006,3e-05,15.306025,6.125,6.03125,1.48e-06,0.0
8,1,0.919123,0.0,0.919123,0.0,0.007,3e-05,17.906099,5.71875,6.0,2.16e-06,0.0
9,1,0.868977,0.0,0.868977,0.0,0.008,3e-05,7.383045,5.375,5.46875,2.89e-06,1e-08
10,1,0.993357,0.0,0.993357,0.0,0.009,3e-05,122.702293,6.125,5.5,3.97e-06,0.0
11,1,0.979784,0.0,0.979784,0.0,0.01,3e-05,5.45121,5.53125,6.25,5.19e-06,0.0
12,1,0.929986,0.0,0.929986,0.0,0.011,3e-05,12.993487,4.59375,5.0625,6.35e-06,0.0
13,1,0.734216,0.0,0.734216,0.0,0.012,3e-05,32.858959,5.0,5.5,7.57e-06,0.0
14,1,0.801277,0.0,0.801277,0.0,0.013,3e-05,29.147573,4.84375,6.34375,8.79e-06,1e-08
15,1,0.979083,0.0,0.979083,0.0,0.014,3e-05,10.724219,4.84375,5.40625,1.007e-05,0.0
16,1,1.009307,0.0,1.009307,0.0,0.015,3e-05,10.620954,6.3125,5.375,1.143e-05,0.0
17,1,1.000214,0.0,1.000214,0.0,0.016,3e-05,14.158472,4.5,5.25,1.275e-05,0.0
18,1,0.89046,0.0,0.89046,0.0,0.017,3e-05,66.508194,5.34375,5.4375,1.404e-05,0.0
19,1,1.035698,0.0,1.035698,0.0,0.018,3e-05,109.409355,5.25,5.9375,1.525e-05,0.0
20,1,0.829808,0.0,0.829808,0.0,0.019,3e-05,61.523304,5.03125,5.5,1.636e-05,0.0
21,1,0.863934,0.0,0.863934,0.0,0.02,3e-05,39.6633,5.03125,5.25,1.739e-05,0.0
22,1,0.940532,0.0,0.940532,0.0,0.021,3e-05,12.149743,4.71875,4.96875,1.832e-05,0.0
23,1,0.945372,0.0,0.945372,0.0,0.022,3e-05,7.799164,5.15625,5.9375,1.934e-05,0.0
24,1,0.978165,0.0,0.978165,0.0,0.023,3e-05,7.218456,4.34375,5.53125,2.028e-05,1e-08
25,1,0.81485,0.0,0.81485,0.0,0.024,3e-05,5.186896,5.75,5.78125,2.124e-05,1e-08
26,1,0.801377,0.0,0.801377,0.0,0.025,3e-05,8.548536,5.78125,5.28125,2.218e-05,0.0
27,1,0.796742,0.0,0.796742,0.0,0.026,3e-05,34.502953,4.875,5.71875,2.32e-05,1e-08
28,1,0.675314,0.0,0.675314,0.0,0.027,3e-05,6.571436,4.90625,5.6875,2.417e-05,1e-08
29,1,0.7423,0.0,0.7423,0.0,0.028,3e-05,16.656977,5.1875,5.75,2.536e-05,0.0
30,1,0.659556,0.0,0.659556,0.0,0.029,3e-05,5.425984,5.0625,5.75,2.656e-05,1e-08
31,1,0.749598,0.0,0.749598,0.0,0.03,3e-05,12.116801,4.28125,4.9375,2.803e-05,1e-08
32,1,0.735423,0.0,0.735423,0.0,0.031,3e-05,13.676137,4.59375,5.28125,2.962e-05,1e-08
33,1,0.700554,0.0,0.700554,0.0,0.032,3e-05,117.652794,5.625,5.96875,3.125e-05,0.0
34,1,0.668487,0.0,0.668487,0.0,0.033,3e-05,15.56687,5.34375,5.375,3.286e-05,2e-08
35,1,0.60822,0.0,0.60822,0.0,0.034,3e-05,13.990487,4.90625,6.75,3.486e-05,0.0
36,1,0.690944,0.0,0.690944,0.0,0.035,3e-05,13.678604,5.34375,5.34375,3.704e-05,2e-08
37,1,0.678164,0.0,0.678164,0.0,0.036,3e-05,23.027571,4.25,5.8125,3.93e-05,1e-08
38,1,0.675383,0.0,0.675383,0.0,0.037,3e-05,18.193182,4.03125,6.6875,4.193e-05,1e-08
39,1,0.709091,0.0,0.709091,0.0,0.038,3e-05,9.08392,4.0,6.0625,4.457e-05,1e-08
40,1,0.670746,0.0,0.670746,0.0,0.039,3e-05,16.776737,5.6875,5.5,4.715e-05,1e-08
41,1,0.63063,0.0,0.63063,0.0,0.04,3e-05,23.969181,5.125,5.84375,4.988e-05,1e-08
42,1,0.551309,0.0,0.551309,0.0,0.041,3e-05,12.081397,4.5,5.8125,5.234e-05,1e-08
43,1,0.61708,0.0,0.61708,0.0,0.042,3e-05,7.880617,5.25,5.84375,5.52e-05,1e-08
44,1,0.54835,0.0,0.54835,0.0,0.043,3e-05,11.278467,4.78125,4.96875,5.782e-05,1e-08
45,1,0.619778,0.0,0.619778,0.0,0.044,3e-05,32.478848,4.90625,5.09375,6.06e-05,2e-08
46,1,0.588714,0.0,0.588714,0.0,0.045,3e-05,14.949764,4.25,5.34375,6.38e-05,1e-08
47,1,0.489093,0.0,0.489093,0.0,0.046,3e-05,5.386067,6.09375,6.0,6.665e-05,2e-08
48,1,0.502065,0.0,0.502065,0.0,0.047,3e-05,21.747404,5.0,6.21875,6.924e-05,1e-08
49,1,0.699779,0.0,0.699779,0.0,0.048,3e-05,9.042274,4.71875,5.34375,7.175e-05,5e-08
50,1,0.576806,0.0,0.576806,0.0,0.049,3e-05,49.216854,5.625,5.625,7.478e-05,2e-08
51,1,0.517789,0.0,0.517789,0.0,0.05,3e-05,18.946665,5.9375,6.0625,7.775e-05,1e-08
52,1,0.572219,0.0,0.572219,0.0,0.051,3e-05,4.919568,4.53125,5.21875,8.092e-05,4e-08
53,1,0.45589,0.0,0.45589,0.0,0.052,3e-05,4.622459,5.09375,5.4375,8.366e-05,3e-08
54,1,0.498703,0.0,0.498703,0.0,0.053,3e-05,3.879439,4.53125,5.0,8.692e-05,4e-08
55,1,0.517228,0.0,0.517228,0.0,0.054,3e-05,4.313211,3.984375,5.46875,8.996e-05,2e-08
56,1,0.507214,0.0,0.507214,0.0,0.055,3e-05,16.056206,4.84375,6.625,9.382e-05,6e-08
57,1,0.57755,0.0,0.57755,0.0,0.056,3e-05,10.542014,5.6875,5.90625,9.862e-05,7e-08
58,1,0.422504,0.0,0.422504,0.0,0.057,3e-05,6.75824,4.90625,5.9375,0.00010412,4e-08
59,1,0.451763,0.0,0.451763,0.0,0.058,3e-05,3.640374,5.0625,5.53125,0.00010987,5e-08
60,1,0.531561,0.0,0.531561,0.0,0.059,3e-05,9.87316,5.96875,5.5,0.00011578,3e-08
