step,epoch,rf_loss,id_loss,total_loss,lam,gamma,lr,grad_norm
1,1,0.891032,0.0,0.891032,0.0,0.0,1e-05,0.083208
2,1,0.892287,0.0,0.892287,0.0,0.0,1e-05,0.225771
3,1,0.941519,0.0,0.941519,0.0,0.0,1e-05,0.1464
4,1,0.911052,0.0,0.911052,0.0,0.0,1e-05,0.141658
5,1,1.013489,0.0,1.013489,0.0,0.0,1e-05,0.569354
6,1,0.914097,0.0,0.914097,0.0,0.0,1e-05,0.195849
7,1,0.88547,0.0,0.88547,0.0,0.0,1e-05,0.09661
8,1,1.035723,0.0,1.035723,0.0,0.0,1e-05,0.099182
9,1,1.021389,0.0,1.021389,0.0,0.0,1e-05,0.102579
10,1,1.013812,0.0,1.013812,0.0,0.0,1e-05,0.108247
11,1,1.127684,0.0,1.127684,0.0,0.0,1e-05,0.196014
12,1,0.928431,0.0,0.928431,0.0,0.0,1e-05,0.124556
13,1,1.229913,0.0,1.229913,0.0,0.0,1e-05,0.220147
14,1,1.032563,0.0,1.032563,0.0,0.0,1e-05,0.121263
15,1,0.959354,0.0,0.959354,0.0,0.0,1e-05,0.345179
16,1,0.850174,0.0,0.850174,0.0,0.0,1e-05,0.358433
17,1,0.949841,0.0,0.949841,0.0,0.0,1e-05,0.11721
18,1,1.1012,0.0,1.1012,0.0,0.0,1e-05,0.131016
19,1,1.025229,0.0,1.025229,0.0,0.0,1e-05,0.135585
20,1,1.094069,0.0,1.094069,0.0,0.0,1e-05,0.175602
21,1,1.018187,0.0,1.018187,0.0,0.0,1e-05,0.150983
22,1,1.011958,0.0,1.011958,0.0,0.0,1e-05,0.149042
23,1,0.886499,0.0,0.886499,0.0,0.0,1e-05,0.124247
24,1,0.855946,0.0,0.855946,0.0,0.0,1e-05,0.113623
25,1,0.930865,0.0,0.930865,0.0,0.0,1e-05,0.132676
26,1,0.856906,0.0,0.856906,0.0,0.0,1e-05,0.17381
27,1,0.959086,0.0,0.959086,0.0,0.0,1e-05,0.176628
28,1,0.911561,0.0,0.911561,0.0,0.0,1e-05,0.169241
29,1,0.832158,0.0,0.832158,0.0,0.0,1e-05,0.132291
30,1,0.817865,0.0,0.817865,0.0,0.0,1e-05,0.191901
31,1,0.936858,0.0,0.936858,0.0,0.0,1e-05,0.209549
32,1,0.896888,0.0,0.896888,0.0,0.0,1e-05,0.191293
33,1,0.903779,0.0,0.903779,0.0,0.0,1e-05,0.183464
34,1,0.798773,0.0,0.798773,0.0,0.0,1e-05,0.199979
35,1,0.945134,0.0,0.945134,0.0,0.0,1e-05,0.153992
36,1,0.916196,0.0,0.916196,0.0,0.0,1e-05,0.19891
