step,epoch,rf_loss,id_loss,total_loss,lam,gamma,lr,grad_norm,v_pred_absmax,target_v_absmax,lora_diff_mean,lora_grad_mean
1,1,0.809564,0.0,0.809564,0.0,0.0,1e-05,0.357474,4.65625,5.3125,0.0,0.0
2,1,0.851174,0.0,0.851174,0.0,0.0,1e-05,0.079935,4.875,5.21875,0.0,0.0
3,1,1.013392,0.0,1.013392,0.0,0.0,1e-05,0.081746,6.5,6.15625,9.6e-07,1e-08
4,1,0.850673,0.0,0.850673,0.0,0.0,1e-05,0.187376,6.1875,6.0,1.76e-06,4e-08
5,1,0.900883,0.0,0.900883,0.0,0.0,1e-05,0.125291,6.75,6.0,3.4e-06,2e-08
6,1,0.917551,0.0,0.917551,0.0,0.0,1e-05,0.180722,6.0625,5.5,4.67e-06,5e-08
7,1,1.002393,0.0,1.002393,0.0,0.0,1e-05,0.312761,4.65625,5.09375,5.01e-06,6e-08
8,1,0.933161,0.0,0.933161,0.0,0.0,1e-05,0.116006,4.4375,5.8125,5.95e-06,1e-08
9,1,1.124094,0.0,1.124094,0.0,0.0,1e-05,0.130303,5.8125,5.375,7.39e-06,2e-08
10,1,0.752394,0.0,0.752394,0.0,0.0,1e-05,0.097423,6.15625,6.59375,8.96e-06,2e-08
11,1,0.87214,0.0,0.87214,0.0,0.0,1e-05,0.143062,5.40625,6.40625,1.044e-05,3e-08
12,1,1.136633,0.0,1.136633,0.0,0.0,1e-05,0.198224,6.15625,6.5,1.196e-05,5e-08
13,1,1.075736,0.0,1.075736,0.0,0.0,1e-05,0.13703,4.53125,4.9375,1.352e-05,2e-08
14,1,0.917935,0.0,0.917935,0.0,0.0,1e-05,0.099776,5.875,6.15625,1.511e-05,1e-08
15,1,1.053647,0.0,1.053647,0.0,0.0,1e-05,0.280009,5.1875,5.1875,1.659e-05,1.2e-07
16,1,0.895116,0.0,0.895116,0.0,0.0,1e-05,0.106566,5.21875,4.9375,1.85e-05,2e-08
17,1,1.02272,0.0,1.02272,0.0,0.0,1e-05,0.191536,4.6875,5.375,2.032e-05,7e-08
18,1,0.934436,0.0,0.934436,0.0,0.0,1e-05,0.330652,5.71875,5.1875,2.208e-05,9e-08
19,1,1.048541,0.0,1.048541,0.0,0.0,1e-05,0.227685,5.625,5.8125,2.387e-05,1.1e-07
20,1,0.936667,0.0,0.936667,0.0,0.0,1e-05,0.106709,4.875,5.3125,2.496e-05,2e-08
21,1,0.774631,0.0,0.774631,0.0,0.0,1e-05,0.09827,5.9375,4.9375,2.601e-05,2e-08
22,1,0.901679,0.0,0.901679,0.0,0.0,1e-05,0.149509,5.21875,6.0,2.704e-05,4e-08
23,1,0.905327,0.0,0.905327,0.0,0.0,1e-05,0.121597,4.59375,5.125,2.814e-05,4e-08
24,1,0.790329,0.0,0.790329,0.0,0.0,1e-05,0.253395,5.46875,5.625,2.915e-05,7e-08
25,1,1.087092,0.0,1.087092,0.0,0.0,1e-05,0.146934,5.78125,6.1875,3.006e-05,2e-08
26,1,0.896952,0.0,0.896952,0.0,0.0,1e-05,0.173955,6.03125,5.8125,3.096e-05,9e-08
27,1,1.142426,0.0,1.142426,0.0,0.0,1e-05,0.184644,5.34375,5.21875,3.196e-05,2e-08
28,1,0.859487,0.0,0.859487,0.0,0.0,1e-05,0.124244,6.5625,5.1875,3.294e-05,3e-08
29,1,0.752712,0.0,0.752712,0.0,0.0,1e-05,0.128092,5.6875,6.25,3.39e-05,3e-08
30,1,1.18272,0.0,1.18272,0.0,0.0,1e-05,0.181625,5.0625,5.0,3.482e-05,3e-08
31,1,1.000661,0.0,1.000661,0.0,0.0,1e-05,0.293052,5.21875,4.75,3.568e-05,8e-08
32,1,0.833296,0.0,0.833296,0.0,0.0,1e-05,0.150351,5.75,5.5,3.648e-05,5e-08
33,1,1.127864,0.0,1.127864,0.0,0.0,1e-05,0.239113,5.84375,5.84375,3.729e-05,7e-08
34,1,0.775599,0.0,0.775599,0.0,0.0,1e-05,0.10899,5.34375,6.03125,3.799e-05,3e-08
35,1,0.829404,0.0,0.829404,0.0,0.0,1e-05,0.155223,5.4375,5.03125,3.87e-05,4e-08
36,1,0.899752,0.0,0.899752,0.0,0.0,1e-05,0.177666,6.375,5.59375,3.941e-05,7e-08
37,1,0.988515,0.0,0.988515,0.0,0.0,1e-05,0.249169,5.125,5.625,4.018e-05,1.2e-07
38,1,0.805911,0.0,0.805911,0.0,0.0,1e-05,0.143026,4.65625,5.0,4.096e-05,4e-08
39,1,0.93422,0.0,0.93422,0.0,0.0,1e-05,0.162114,5.75,5.3125,4.175e-05,3e-08
40,1,0.839124,0.0,0.839124,0.0,0.0,1e-05,0.138308,6.125,5.9375,4.257e-05,4e-08
41,1,1.104667,0.0,1.104667,0.0,0.0,1e-05,0.173084,5.1875,5.6875,4.328e-05,5e-08
42,1,0.901771,0.0,0.901771,0.0,0.0,1e-05,0.145198,5.1875,5.34375,4.399e-05,3e-08
43,1,0.923712,0.0,0.923712,0.0,0.0,1e-05,0.176042,4.875,5.28125,4.468e-05,3e-08
44,1,0.991798,0.0,0.991798,0.0,0.0,1e-05,0.183253,6.5,6.03125,4.539e-05,5e-08
45,1,0.857802,0.0,0.857802,0.0,0.0,1e-05,0.197781,5.71875,4.96875,4.618e-05,9e-08
46,1,0.866751,0.0,0.866751,0.0,0.0,1e-05,0.164916,5.5625,5.1875,4.713e-05,3e-08
47,1,1.031775,0.0,1.031775,0.0,0.0,1e-05,0.241488,6.125,6.03125,4.81e-05,6e-08
48,1,1.118094,0.0,1.118094,0.0,0.0,1e-05,0.301698,6.25,5.9375,4.883e-05,1.1e-07
49,1,0.835759,0.0,0.835759,0.0,0.0,1e-05,0.177265,5.15625,6.1875,4.975e-05,5e-08
50,1,0.858208,0.0,0.858208,0.0,0.0,1e-05,0.174157,6.3125,6.21875,5.06e-05,2e-08
51,1,1.052326,0.0,1.052326,0.0,0.0,1e-05,0.260301,6.25,5.75,5.142e-05,1.1e-07
52,1,0.831583,0.0,0.831583,0.0,0.0,1e-05,0.263587,5.03125,5.40625,5.217e-05,1.2e-07
53,1,0.905337,0.0,0.905337,0.0,0.0,1e-05,0.255619,5.53125,5.46875,5.316e-05,7e-08
54,1,1.011338,0.0,1.011338,0.0,0.0,1e-05,0.235537,5.59375,5.8125,5.43e-05,2e-08
55,1,0.836748,0.0,0.836748,0.0,0.0,1e-05,0.168037,5.125,5.96875,5.538e-05,5e-08
56,1,0.874037,0.0,0.874037,0.0,0.0,1e-05,0.204485,4.8125,5.59375,5.661e-05,4e-08
57,1,0.847275,0.0,0.847275,0.0,0.0,1e-05,0.300362,5.1875,5.9375,5.779e-05,9e-08
58,1,0.946459,0.0,0.946459,0.0,0.0,1e-05,0.271931,5.28125,5.0625,5.864e-05,5e-08
59,1,0.863208,0.0,0.863208,0.0,0.0,1e-05,0.256508,4.65625,4.625,5.957e-05,6e-08
60,1,0.848632,0.0,0.848632,0.0,0.0,1e-05,0.211367,5.59375,6.09375,6.042e-05,5e-08
61,1,0.842891,0.0,0.842891,0.0,0.0,1e-05,0.177291,5.0,5.28125,6.15e-05,5e-08
62,1,0.982914,0.0,0.982914,0.0,0.0,1e-05,0.295272,4.90625,5.5,6.263e-05,3e-08
63,1,0.873928,0.0,0.873928,0.0,0.0,1e-05,0.242751,5.34375,5.375,6.373e-05,7e-08
64,1,0.808979,0.0,0.808979,0.0,0.0,1e-05,0.195172,5.4375,5.625,6.453e-05,7e-08
65,1,0.808505,0.0,0.808505,0.0,0.0,1e-05,0.228804,4.78125,5.6875,6.501e-05,3e-08
66,1,0.833704,0.0,0.833704,0.0,0.0,1e-05,0.207892,5.53125,5.15625,6.54e-05,3e-08
67,1,0.782407,0.0,0.782407,0.0,0.0,1e-05,0.236531,5.28125,5.4375,6.577e-05,9e-08
68,1,0.877003,0.0,0.877003,0.0,0.0,1e-05,0.25161,5.59375,6.0625,6.601e-05,4e-08
69,1,0.844076,0.0,0.844076,0.0,0.0,1e-05,0.211246,5.53125,5.375,6.64e-05,4e-08
70,1,0.769837,0.0,0.769837,0.0,0.0,1e-05,0.255516,5.34375,5.5625,6.686e-05,7e-08
71,1,0.730259,0.0,0.730259,0.0,0.0,1e-05,0.250134,4.9375,5.375,6.752e-05,5e-08
72,1,0.859752,0.0,0.859752,0.0,0.0,1e-05,0.250198,5.75,6.3125,6.808e-05,3e-08
73,1,0.858675,0.0,0.858675,0.0,0.0,1e-05,0.295904,5.40625,6.8125,6.862e-05,6e-08
74,1,0.769227,0.0,0.769227,0.0,0.0,1e-05,0.25006,5.65625,6.5625,6.931e-05,4e-08
75,1,0.706213,0.0,0.706213,0.0,0.0,1e-05,0.133749,5.25,5.40625,7.002e-05,3e-08
76,1,0.723007,0.0,0.723007,0.0,0.0,1e-05,0.192333,5.125,5.3125,7.062e-05,1e-07
77,1,0.765343,0.0,0.765343,0.0,0.0,1e-05,0.227545,4.625,4.8125,7.068e-05,2e-08
78,1,0.700228,0.0,0.700228,0.0,0.0,1e-05,0.251998,4.9375,5.5,7.074e-05,4e-08
79,1,0.803052,0.0,0.803052,0.0,0.0,1e-05,0.278396,5.0625,5.28125,7.089e-05,9e-08
80,1,0.762259,0.0,0.762259,0.0,0.0,1e-05,0.189419,5.0,6.21875,7.101e-05,4e-08
81,1,0.788034,0.0,0.788034,0.0,0.0,1e-05,0.240536,5.125,5.875,7.124e-05,3e-08
82,1,0.874171,0.0,0.874171,0.0,0.0,1e-05,0.310899,5.1875,5.125,7.15e-05,4e-08
83,1,0.854527,0.0,0.854527,0.0,0.0,1e-05,0.225508,6.5625,6.375,7.189e-05,4e-08
84,1,0.708723,0.0,0.708723,0.0,0.0,1e-05,0.215668,4.65625,5.90625,7.223e-05,3e-08
85,1,0.716073,0.0,0.716073,0.0,0.0,1e-05,0.279714,4.875,5.09375,7.25e-05,4e-08
86,1,0.774071,0.0,0.774071,0.0,0.0,1e-05,0.264511,5.34375,5.6875,7.276e-05,9e-08
87,1,0.774236,0.0,0.774236,0.0,0.0,1e-05,0.288902,4.84375,5.71875,7.343e-05,1e-08
88,1,0.630637,0.0,0.630637,0.0,0.0,1e-05,0.173847,5.3125,5.0625,7.404e-05,5e-08
89,1,0.776418,0.0,0.776418,0.0,0.0,1e-05,0.238599,5.40625,5.75,7.459e-05,4e-08
90,1,0.704578,0.0,0.704578,0.0,0.0,1e-05,0.209901,5.46875,5.65625,7.522e-05,3e-08
91,1,0.918116,0.0,0.918116,0.0,0.0,1e-05,0.338945,4.75,5.0625,7.578e-05,3e-08
92,1,0.736977,0.0,0.736977,0.0,0.0,1e-05,0.25867,5.59375,5.3125,7.634e-05,5e-08
