step,epoch,rf_loss,id_loss,total_loss,lam,gamma,lr,grad_norm,v_pred_absmax,target_v_absmax,lora_diff_mean,lora_grad_mean
1,1,4.22854,0.018526,4.232955,0.200755,0.0,5e-05,285.128754,4.65625,3.28125,0.0,0.0
2,1,1.430642,0.005439,1.43098,0.091519,0.000667,5e-05,1049.025879,1.710938,3.9375,0.0,0.0
3,1,2.70446,0.018104,2.708889,0.217719,0.001333,5e-05,744.780396,5.65625,4.25,4e-08,0.0
4,1,1.62875,0.013696,1.632434,0.200746,0.002,5e-05,286.224823,3.65625,3.8125,4.2e-07,0.0
5,1,1.149634,0.005131,1.150186,0.181371,0.002667,5e-05,218.127121,1.132812,4.3125,1.25e-06,0.0
6,1,1.073527,0.001612,1.074041,0.268318,0.003333,5e-05,656.240479,1.328125,4.25,2.31e-06,0.0
7,1,2.60148,0.005627,2.601965,0.136291,0.004,5e-05,544.542419,1.046875,3.828125,2.99e-06,0.0
8,1,4.129892,0.005076,4.130544,0.133911,0.004667,5e-05,764.728027,6.46875,4.4375,3.9e-06,0.0
9,1,3.360627,0.009866,3.36114,0.084872,0.005333,5e-05,584.490967,1.03125,3.4375,4.96e-06,0.0
10,1,1.513503,0.006222,1.513989,0.119186,0.006,5e-05,908.104858,1.1875,3.546875,6.08e-06,1e-08
11,1,0.912388,0.003022,0.912756,0.142927,0.006667,5e-05,450.13797,1.140625,3.03125,9.44e-06,1e-08
12,1,1.104695,0.003297,1.105131,0.150346,0.007333,5e-05,48.754879,1.804688,4.0,1.463e-05,9e-08
13,1,0.921464,0.00207,0.921852,0.18996,0.008,5e-05,147.064056,2.046875,3.25,2.792e-05,3e-08
14,1,1.196138,0.003014,1.196873,0.123034,0.008667,5e-05,212.182266,1.34375,3.640625,4.335e-05,2e-08
15,1,1.059073,0.003411,1.059407,0.135112,0.009333,5e-05,98.527184,1.382812,3.875,5.922e-05,0.0
16,1,1.099154,0.003986,1.099976,0.238684,0.01,5e-05,33.00803,1.03125,3.890625,7.379e-05,1e-08
17,1,0.943463,0.001829,0.943775,0.165433,0.010667,5e-05,22.897673,1.296875,3.78125,8.741e-05,0.0
18,1,0.963524,0.004022,0.964174,0.176653,0.011333,5e-05,4.110061,1.023438,3.6875,9.991e-05,2e-08
19,1,0.83081,0.004456,0.831415,0.14676,0.012,5e-05,11.880697,2.125,3.40625,0.00011133,3e-08
20,1,0.842033,0.006871,0.843037,0.173405,0.012667,5e-05,26.153648,0.921875,4.125,0.00012174,5e-08
21,1,0.895161,0.005926,0.896198,0.112949,0.013333,5e-05,33.765984,1.101562,3.5625,0.000131,2e-08
22,1,0.714135,0.00438,0.714981,0.228181,0.014,5e-05,3.455593,1.046875,3.265625,0.00013974,4e-08
23,1,0.746461,0.002355,0.747143,0.283405,0.014667,5e-05,5.474573,1.773438,3.875,0.0001481,4e-08
24,1,0.774859,0.005132,0.776068,0.217468,0.015333,5e-05,3.972172,1.03125,3.828125,0.00015654,3e-08
25,1,1.674387,0.006628,1.675181,0.098662,0.016,5e-05,92.59127,1.257812,3.9375,0.00016515,5e-08
26,1,1.006561,0.004367,1.00727,0.232103,0.016667,5e-05,38.017693,1.296875,3.625,0.00017338,2e-08
27,1,0.951583,0.0023,0.951886,0.133214,0.017333,5e-05,6.383648,1.671875,3.0625,0.00018086,5e-08
28,1,0.788073,0.00273,0.788752,0.239829,0.018,5e-05,2.065802,1.140625,3.53125,0.00018934,1e-07
29,1,0.783792,0.002093,0.784286,0.24385,0.018667,5e-05,5.442482,1.578125,3.796875,0.00019885,4e-08
30,1,0.846876,0.001719,0.847208,0.189032,0.019333,5e-05,6.915096,1.375,3.125,0.00020866,1.4e-07
31,1,0.98663,0.001344,0.986765,0.131454,0.02,5e-05,15.51471,1.601562,4.09375,0.00022529,5e-08
32,1,0.892647,0.00325,0.892916,0.101057,0.020667,5e-05,17.385969,0.917969,3.609375,0.00024144,3e-08
33,1,0.80488,0.002604,0.805444,0.248213,0.021333,5e-05,4.69226,1.460938,3.15625,0.00025704,1e-07
34,1,0.757946,0.002529,0.7584,0.185484,0.022,5e-05,3.164288,1.0625,3.125,0.00027325,2e-07
35,1,0.8637,0.003656,0.864287,0.195154,0.022667,5e-05,11.192911,1.039062,3.28125,0.00028952,6e-08
36,1,0.86993,0.003711,0.87033,0.113343,0.023333,5e-05,1.779435,1.320312,3.171875,0.00030506,3.6e-07
37,1,1.07042,0.00774,1.071607,0.162655,0.024,5e-05,44.299175,1.234375,3.609375,0.00032281,8e-08
38,1,0.713343,0.003545,0.714099,0.210887,0.024667,5e-05,1.409508,1.085938,3.0,0.00034013,3.3e-07
39,1,0.703708,0.002815,0.704587,0.270295,0.025333,5e-05,1.773211,1.148438,3.1875,0.000359,3.2e-07
40,1,0.874685,0.004209,0.875106,0.084481,0.026,5e-05,4.662817,1.109375,3.96875,0.00037873,1.3e-07
41,1,0.955866,0.005897,0.956379,0.076835,0.026667,5e-05,13.324194,0.882812,3.59375,0.00039901,7e-08
42,1,0.767843,0.002655,0.7683,0.17758,0.027333,5e-05,2.964295,0.835938,3.5,0.00041865,2.7e-07
43,1,0.763312,0.002818,0.763821,0.188173,0.028,5e-05,1.591618,0.976562,3.421875,0.0004391,3.5e-07
44,1,0.75398,0.002581,0.754478,0.198688,0.028667,5e-05,1.554875,0.8125,3.59375,0.00046157,4.8e-07
45,1,0.824187,0.002039,0.824404,0.111564,0.029333,5e-05,4.727575,0.945312,4.25,0.00048686,1.6e-07
46,1,0.783293,0.002313,0.783631,0.18351,0.03,5e-05,1.575478,2.125,4.40625,0.00051253,6.8e-07
47,1,0.754752,0.002179,0.755232,0.189493,0.030667,5e-05,5.534961,1.109375,3.234375,0.00053985,1.6e-07
48,1,0.82841,0.003082,0.828795,0.149409,0.031333,5e-05,14.943678,1.125,3.8125,0.00056677,6e-08
49,1,0.861827,0.002214,0.862088,0.165777,0.032,5e-05,1.686482,0.984375,3.4375,0.00059244,8e-07
50,1,0.753992,0.001821,0.754199,0.1263,0.032667,5e-05,1.692762,1.148438,3.40625,0.00062235,5.2e-07
51,1,0.715969,0.003233,0.716657,0.226212,0.033333,5e-05,1.677463,0.941406,4.15625,0.00065428,4.1e-07
52,1,0.671775,0.002764,0.672106,0.128777,0.034,5e-05,0.825062,1.398438,4.125,0.00068673,9.3e-07
53,1,0.738204,0.003219,0.738682,0.148572,0.034667,5e-05,2.144681,1.148438,3.3125,0.00072248,4.3e-07
54,1,0.81403,0.003354,0.814653,0.214276,0.035333,5e-05,4.506965,0.9375,4.21875,0.00075825,1.7e-07
55,1,0.717794,0.003239,0.718671,0.22075,0.036,5e-05,4.222462,1.09375,3.53125,0.00079274,2.1e-07
56,1,0.728533,0.002078,0.728962,0.207057,0.036667,5e-05,2.364837,0.855469,3.828125,0.00082651,2.7e-07
57,1,0.719931,0.003547,0.720627,0.192472,0.037333,5e-05,3.738385,0.828125,3.234375,0.00085989,1.7e-07
58,1,0.915616,0.002907,0.916119,0.233694,0.038,5e-05,20.761938,0.898438,4.25,0.0008919,8e-08
