step,epoch,rf_loss,id_loss,total_loss,lam,gamma,lr,grad_norm,v_pred_absmax,target_v_absmax,v_src_absmax,lora_diff_mean,lora_grad_mean
1,1,6.840063,0.020384,6.843544,0.181686,0.0,5e-05,703.590942,5.875,4.09375,6.34375,0.0,0.0
2,1,2775.155678,0.937788,2775.322639,0.185565,0.002,5e-05,457312.96875,134.0,2.9375,120.5,0.0,0.0
3,1,430.874818,0.957598,431.14637,0.257834,0.004,5e-05,119447.5,63.75,4.15625,54.25,3e-08,0.0
4,1,1.683848,0.004224,1.684622,0.278542,0.006,5e-05,580.179443,0.796875,3.890625,1.765625,8.9e-07,0.0
5,1,5.689334,0.016368,5.692535,0.215194,0.008,5e-05,383.220886,6.375,2.921875,5.75,1.76e-06,0.0
6,1,6.758291,0.016691,6.760827,0.144508,0.01,5e-05,70.740738,4.78125,3.4375,6.0,2.79e-06,0.0
7,1,6.241499,0.016494,6.243142,0.13318,0.012,5e-05,147.432251,4.625,3.359375,6.1875,4.21e-06,0.0
8,1,7.544756,0.02052,7.547618,0.151873,0.014,5e-05,93.857697,5.65625,3.9375,6.21875,6.21e-06,0.0
9,1,10.480871,0.026287,10.484416,0.155593,0.016,5e-05,1865.08313,15.3125,3.703125,8.5,8.7e-06,0.0
10,1,20.482383,0.150207,20.526337,0.172257,0.018,5e-05,3922.398682,5.4375,2.875,5.03125,1.174e-05,0.0
11,1,5.584491,0.015167,5.586981,0.165107,0.02,5e-05,212.184296,5.375,3.53125,6.34375,1.565e-05,1e-08
12,1,7.827107,0.021198,7.830474,0.132083,0.022,5e-05,1200.033081,0.90625,3.984375,3.859375,2.028e-05,0.0
13,1,7.776603,0.029437,7.779505,0.171195,0.024,5e-05,1400.629639,4.96875,3.875,5.71875,2.569e-05,0.0
14,1,5.964038,0.014738,5.967825,0.213885,0.026,5e-05,600.326355,1.429688,3.546875,1.070312,3.162e-05,1e-08
15,1,5.21566,0.014256,5.218478,0.19159,0.028,5e-05,145.263992,5.25,3.0,5.9375,3.854e-05,1e-08
16,1,4.871993,0.012149,4.87297,0.108783,0.03,5e-05,232.077286,4.9375,4.1875,5.3125,4.633e-05,1e-08
17,1,5.411368,0.015747,5.415337,0.180129,0.032,5e-05,122.638176,3.5,3.75,5.0625,5.491e-05,1e-08
18,1,6.08624,0.014658,6.087976,0.120424,0.034,5e-05,194.4758,1.15625,3.78125,2.953125,6.425e-05,3e-08
19,1,4.607259,0.010007,4.608761,0.183582,0.036,5e-05,177.302765,1.054688,3.8125,2.9375,7.503e-05,1e-08
20,1,5.094329,0.008319,5.095245,0.148183,0.038,5e-05,316.492004,7.15625,4.0625,5.84375,8.687e-05,4e-08
21,1,2.47044,0.006567,2.471162,0.115322,0.04,5e-05,69.610306,1.9375,3.71875,2.015625,0.00010011,1e-08
22,1,7.766146,0.018804,7.768084,0.152192,0.042,5e-05,1473.109009,1.210938,3.328125,1.09375,0.00011335,1e-08
23,1,3.430902,0.005682,3.431459,0.131785,0.044,5e-05,832.71759,3.03125,3.65625,4.0625,0.00012643,1e-08
